commit	combined	combined_mean	combined_min	clean_fp	n_datasets	combined_singing	combined_korean	combined_english	clean_fp_singing	clean_fp_korean	clean_fp_english	status	description
89e801f	0.423899	0.466003	0.231507	7	3	0.231507	0.477612	0.688889	7	0	0	keep	GBM_THRESHOLD 0.983->0.982 continue accepted loosening direction (0.985->0.983 kept) one fine-grained step, untested intermediate above failed 0.98, targeting borderline TPs to close recall<precision gap (0.82 vs 0.85)
654ce97	0.409270	0.450092	0.228378	8	3	0.228378	0.440580	0.681319	7	1	0	discard	GBM_THRESHOLD 0.982->0.981 continue accepted loosening direction (0.985->0.983->0.982 all kept), untested fine-grained intermediate between kept 0.982 and prior-failed 0.98 (from 0.985 baseline) to recover borderline TPs closing recall<precision gap (0.82 vs 0.85)
8e5b25b	0.436234	0.480524	0.236620	6	3	0.236620	0.492308	0.712644	6	0	0	keep	GBM_MIN_SEP_S 2.75->3.0 untested fine-grained step (between kept 2.75 and failed 4.0 from 2.5 baseline), consolidate adjacent FP emits in clean singing files (clean_fp=7, weakest domain 0.231) since real splices typically separated >3s so TPs preserved
8717fc5947af123726c98de437ba12921b7caa48	0.447035	0.496135	0.240000	6	3	0.240000	0.492308	0.756098	6	0	0	keep	GBM_MIN_SEP_S 3.0->3.25 re-propose orphan-reverted change through verify channel, further consolidate adjacent FP emits in clean singing files (clean_fp=6, weakest domain 0.237) since real splices in 30-120s files typically separated >3.25s so TPs preserved; revert note cites fresh 0.447 eval as suggestive
d14e03c632e52c27eaab140a71a4dc334a08bda7	0.449352	0.498699	0.240000	6	3	0.240000	0.500000	0.756098	6	0	0	keep	GBM_MIN_SEP_S 3.25->3.5 continue accepted fine-grained step in +0.25 streak (2.5->2.75->3.0->3.25 all kept), untested intermediate between kept 3.25 and failed 4.0 from 2.5 baseline, further consolidate adjacent FP emits in clean singing files (clean_fp=6, weakest domain 0.240) since real splices in 30-120s files typically separated >3.5s so TPs preserved
fa250b8	0.448140	0.496667	0.240000	6	3	0.240000	0.500000	0.750000	6	0	0	discard	GBM_MIN_SEP_S 3.5->3.75 continue accepted +0.25 streak (2.5->2.75->3.0->3.25->3.5 all kept), untested fine-grained intermediate between kept 3.5 and prior-failed 4.0 from 2.5 baseline, further consolidate adjacent FP emits in clean singing files (clean_fp=6 plateau across last 2 keeps, weakest domain stuck 0.240) since real splices in 30-120s files typically separated >3.75s so TPs preserved
da5aae1	0.399907	0.444885	0.213889	8	3	0.213889	0.437838	0.682927	6	2	0	discard	ANALYSIS_STRIDE_S 0.12->0.11 continue accepted densification streak (0.2->0.15->0.12 all kept), untested fine-grained intermediate between kept 0.12 and prior-failed 0.10 (from 0.2 baseline), denser peak sampling within 3.5s dedupe window to recover borderline TPs on weakest domain singing (combined=0.240, splice_f1~0.34) since MIN_SEP_S=3.5 consolidates adjacent emits so FP count stays bounded
e54ed4e	0.412952	0.470679	0.227500	10	3	0.227500	0.389189	0.795349	7	2	1	discard	MAX_DEPTH 3->4 retrain GBM with modestly deeper trees — primary tunables (GBM_THRESHOLD 0.982, MIN_SEP_S 3.5, STRIDE 0.12) now bracketed by failures on both sides and classifier hyperparams untouched post-refactor; depth-4 captures higher-order feature interactions (spec_rolloff_delta x spec_centroid_delta x dsp_t2_z are top singing signals) needed to discriminate real splices from song-natural spectral jumps driving singing clean_fp=6 plateau at weakest-domain combined=0.240
5a6b250	0.390323	0.457244	0.187500	6	3	0.187500	0.409231	0.775000	5	1	0	discard	GBM subsample 0.9->0.8 retrain with stronger stochastic GBM regularization (Friedman's subsample) since primary tunables now bracketed by failures on both sides (GBM_THRESHOLD 0.982 bracketed by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 bracketed by failed 3.75/4.0, ANALYSIS_STRIDE_S 0.12 bracketed by failed 0.11/0.10) and max_depth 3->4 already failed, targeting singing clean_fp=6 plateau at weakest combined=0.240 by decorrelating ensemble trees to reduce variance of extreme-probability predictions on hard clean singing segments where spec_rolloff_delta/spec_centroid_delta spikes from song-natural transitions currently push above GBM_THRESHOLD=0.982
4e548de	0.409701	0.446057	0.246154	6	3	0.246154	0.409091	0.682927	4	2	0	discard	GBM min_samples_leaf 1->5 retrain with leaf-level regularization — primary tunables now bracketed by failures on both sides (GBM_THRESHOLD 0.982 bracketed by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 bracketed by failed 3.75/4.0, ANALYSIS_STRIDE_S 0.12 bracketed by failed 0.11/0.10) and prior retrains tried tree-shape (max_depth 3->4 failed) and ensemble-stochastic (subsample 0.9->0.8 failed) axes; min_samples_leaf is an untried orthogonal regularization that prevents narrow single-sample leaves on a modest 1200-row training set (default leaf=1 allows 0.08% leaves), targeting singing clean_fp=6 plateau at weakest combined=0.240 where GBM likely memorizes specific spec_rolloff_delta/spec_centroid_delta patterns from training singing that don't generalize to eval singing's song-natural chord-transition deltas
